name;frequency
Eylin;0
Hazel;0
Hosanna;0
Jonida;0
Júlia;0
Lyara;0
Morea;0
Soé;0
Solea;0
Anaé;0
Elya;0
Elyne;0
Evy;0
Nalya;0
Abigaëlle;0
Adaline;0
Enora;0
Kamila;0
Lalia;0
Loyse;0
Lyna;0
Yostina;0
Arilena;0
Rumejsa;0
Soleil;0
Amaira;0
Arlet;0
Lani;0
Palina;0
Milea;0
Nehir;0
Anaya;0
Leja;0
Aaleyah;0
Ally;0
Amelija;0
Andrra;0
Dawa;0
Hidaya;0
Lenea;0
Lovis;0
Luina;0
Mailin;0
Naela;0
Nikolija;0
Suvi;0
Laraina;0
Peppina;0
Eldana;0
Elaine;0
Emeli;0
Lanea;0
Aldana;0
Angel;0
Ariola;0
Ariyam;0
Aryam;0
Aryana;0
Inaja;0
Jordan;0
Lediana;0
Lennja;0
Lilien;0
Maline;0
Megdelawit;0
Melodi;0
Naliya;0
Nastja;0
Shayra;0
Tarja;0
Viktória;0
Kanita;0
Nevia;0
Lennya;0
Livi;0
Tali;0
Hayley;0
Sole;0
Alin;0
Allyson;0
Elide;0
Sveva;0
Faustine;0
Inayah;0
Maëlys;0
Victoire;0
Ayna;0
Elaïa;0
Emna;0
Kylie;0
Lennie;0
Lexie;0
Maïna;0
Ninon;0
Willow;0
Aathira;0
Alyia;0
Amalya;0
Ariam;0
Assya;0
Bárbara;0
Calie;0
Charisma;0
Charlize;0
Delara;0
Elikia;0
Elynna;0
Enéa;0
Esme;0
Gaïa;0
Hanaé;0
Izïa;0
Kaylah;0
Laïa;0
Lily-Rose;0
Magda;0
Mallika;0
Mayli;0
Molly;0
Mylena;0
Mélissandre;0
Naëlle;0
Nelya;0
Neyah;0
Odile;0
Ohana;0
Sia;0
Thalya;0
Zita;0
Éléanore;0
Éléna;0
Éléonore;0
Alycia;0
Athéna;0
Auri;0
Carminho;0
Eléna;0
Jazz;0
Kamille;0
Maloé;0
Maëlie;0
Milene;0
Victória;0
Érica;0
Domitille;0
Essia;0
Kelya;0
Leïa;0
Maranata;0
Jennah;0
Elyana;0
Ilyana;0
Olívia;0
Abril;0
Adelaide;0
Adélaïde;0
Alyah;0
Arame;0
Ariya;0
Augustine;0
Brune;0
Casilda;0
Cléophée;0
Deva;0
Hanan;0
Imani;0
Imany;0
Janaé;0
Kadiatou;0
Kendra;0
Kiyana;0
Layane;0
Manel;0
Marley;0
Mayze;0
Maïa;0
Mirha;0
