name;frequency
Nicod;4
Niederhäusern;4
Niggeler;4
Nucé;4
Nüesch;4
Oberhofen;4
Obrecht;4
Ochsenbein;4
Odet;4
Oetiker;4
Oron;4
Ostertag;4
Pasquier;4
Passavant;4
Patry;4
Paul;4
Pellis;4
Peney;4
Perrig;4
Perroud;4
Pesmes;4
Peterelli;4
Petitot;4
Pfyl;4
Pidoux;4
Pileo;4
Platter;4
Plessis-Gouret;4
Polar;4
Pontaningen;4
Pontverre;4
Potterat;4
Prez;4
Radegg;4
Rambert;4
Ramelli;4
Ramschwag;4
Ramseyer;4
Randegg;4
Raschein;4
Rauch;4
Recordon;4
Regli;4
Reimann;4
Reinert;4
Reinhardt;4
Rellstab;4
Reutti;4
Reynier;4
Ribaupierre;4
Riedi;4
Rigaud;4
Ringger;4
Risch;4
Ritschard;4
Rogg;4
Roggwil;4
Rohan;4
Rohrer;4
Röist;4
Roos;4
Rosenberg;4
Rosset;4
Rotach;4
Ruchenberg;4
Rudolf;4
Rue;4
Rüsch;4
Rüti;4
Rutishauser;4
Ryffel;4
Sager;4
Sailer;4
Saillon;4
Saint-Cierges;4
Saint-Germain;4
Saint-Jeoire;4
Sala;4
Saurer;4
Saxer;4
Schädelin;4
Schädler;4
Schäppi;4
Schärer;4
Schauenburg;4
Schaufelberger;4
Scheitlin;4
Schelling;4
Schenkel;4
Scheppelin;4
Schirmer;4
Schläfli;4
Schlandersberg;4
Schmuziger;4
Schnorf;4
Schoeck;4
Schoeller;4
Schönenberg;4
Schönenberger;4
Schönenbüel;4
Schopfer;4
Schreiber;4
Schultheiss;4
Schütz;4
Schwarzmurer;4
Schwerzmann;4
Sellenbüren;4
Senger;4
Seregno;4
Sévery;4
Siber;4
Singenberg;4
Solari;4
Somazzi;4
Sommer;4
Sonvico;4
Spälti;4
Speichingen;4
Spescha;4
Speyr;4
Spichtig;4
Spiringen;4
Stauder;4
Stebler;4
